DOI,published.date-parts,is-referenced-by-count,title
10.21105/joss.01686,2019-11-21,2094,Welcome to the Tidyverse
10.21105/joss.00861,2018-09-02,1505,UMAP: Uniform Manifold Approximation and Projection
10.21105/joss.00024,2016-06-08,621,corner.py: Scatterplot matrices in Python
10.21105/joss.00205,2017-03-21,346,hdbscan: Hierarchical density based clustering
10.21105/joss.00097,2017-01-10,274,SALib: An open-source Python library for Sensitivity Analysis
10.21105/joss.00772,2018-06-29,269,ggeffects: Tidy Data Frames of Marginal Effects from Regression Models
10.21105/joss.00026,2016-06-10,242,Armadillo: a template-based C++ library for linear algebra
10.21105/joss.00774,2018-10-06,193,quanteda: An R package for the quantitative analysis of textual data
10.21105/joss.00731,2018-05-19,191,qqman: an R package for visualizing GWAS results using Q-Q and manhattan plots
10.21105/joss.01026,2018-11-19,181,Pingouin: statistics in Python
10.21105/joss.00037,2016-07-11,181,tidytext: Text Mining and Analysis Using Tidy Data Principles in R
10.21105/joss.03021,2021-04-06,178,seaborn: statistical data visualization
10.21105/joss.00884,2018-09-07,171,pvlib python: a python package for modeling solar energy systems
10.21105/joss.01541,2019-08-13,163,"bayestestR: Describing Effects and their Uncertainty, Existence and Significance within the Bayesian Framework"
10.21105/joss.00638,2018-04-22,139,MLxtend: Providing machine learning and data science utilities and extensions to Python’s scientific computing stack
10.21105/joss.01298,2019-03-27,138,healpy: equal area pixelization and spherical harmonics transforms for data on the sphere in Python
10.21105/astro.1306.2144,2019-11-27,131,Importance Nested Sampling and the MultiNest Algorithm
10.21105/joss.00265,2017-05-26,127,Mosquitto: server and client implementation of the MQTT protocol
10.21105/joss.00045,2016-08-30,103,ChainConsumer
10.21105/joss.00786,2018-06-27,99,iml: An R package for Interpretable Machine Learning
10.21105/joss.01237,2019-04-12,99,PyWavelets: A Python package for wavelet analysis
10.21105/joss.00027,2016-09-14,94,sourmash: a library for MinHash sketching of DNA
10.21105/joss.00717,2018-08-07,91,sumo: Command-line tools for plotting and analysis of periodic ab initio calculations
10.21105/joss.00058,2016-10-05,91,SEP: Source Extractor as a library
10.21105/joss.00470,2018-02-05,89,The psycho Package: an Efficient and Publishing-Oriented Workflow for Psychological Science
10.21105/joss.00568,2018-03-06,84,Gramm: grammar of graphics plotting in Matlab
10.21105/joss.00615,2018-04-04,82,Optim: A mathematical optimization package for Julia
10.21105/joss.00236,2017-04-19,76,Brightway: An open source framework for Life Cycle Assessment
10.21105/joss.00388,2017-10-08,72,Gala: A Python package for galactic dynamics
10.21105/joss.00695,2018-06-27,67,dustmaps: A Python interface for maps of interstellar dust
10.21105/joss.01370,2019-05-12,67,AMReX: a framework for block-structured adaptive mesh refinement
10.21105/joss.00978,2018-10-10,67,tidyLPA: An R Package to Easily Carry Out Latent Profile Analysis (LPA) Using Open-Source or Commercial Software
10.21105/joss.00747,2019-01-15,64,NN-SVG: Publication-Ready Neural Network Architecture Schematics
10.21105/joss.00432,2017-11-04,58,Augmentor: An Image Augmentation Library for Machine Learning
10.21105/joss.00765,2018-06-11,56,Philentropy: Information Theory and Distance Quantification with R
10.21105/joss.01143,2019-01-15,56,ArviZ a unified library for exploratory analysis of Bayesian models in Python
10.21105/joss.00602,2018-05-03,55,Flux: Elegant machine learning with Julia
10.21105/joss.00500,2018-02-05,53,DART: Dynamic Animation and Robotics Toolkit
10.21105/joss.00456,2017-12-04,53,ros_control: A generic and simple control framework for ROS
10.21105/joss.01057,2018-12-10,53,Altair: Interactive Statistical Visualizations for Python
10.21105/joss.02815,2020-12-23,53,effectsize: Estimation of Effect Size Indices and Standardized Parameters
10.21105/joss.01864,2019-11-17,49,emcee v3: A Python ensemble sampling toolkit for affine-invariant MCMC
10.21105/joss.00934,2018-10-23,49,q2-sample-classifier: machine-learning tools for microbiome classification and regression
10.21105/joss.01829,2019-10-24,48,rtweet: Collecting and analyzing Twitter data
10.21105/joss.01169,2019-04-14,47,scikit-posthocs: Pairwise multiple comparison tests in Python
10.21105/joss.01556,2019-07-25,46,pyMannKendall: a python package for non parametric Mann Kendall family of trend tests.
10.21105/joss.00118,2016-12-05,46,Multilocus sequence typing by blast from de novo assemblies against PubMLST
10.21105/joss.00648,2018-03-29,44,comorbidity: An R package for computing comorbidity scores
10.21105/astro.1905.06082,2019-06-26,44,Modelling baryonic feedback for survey cosmology
10.21105/joss.01762,2019-12-10,41,Mashtree: a rapid comparison of whole genome sequence files
10.21105/joss.00825,2018-09-12,41,Calliope: a multi-scale energy systems modelling framework
10.21105/joss.03139,2021-04-21,40,"performance: An R Package for Assessment, Comparison and Testing of Statistical Models"
10.21105/joss.00433,2018-01-10,39,PySwarms: a research toolkit for Particle Swarm Optimization in Python
10.21105/joss.01296,2019-05-01,39,PoreSpy: A Python Toolkit for Quantitative Analysis of Porous Media Images
10.21105/joss.01023,2018-12-05,37,Overlapping: a R package for Estimating Overlapping in Empirical Distributions
10.21105/joss.02017,2020-05-21,37,ggalluvial: Layered Grammar for Alluvial Plots
10.21105/joss.01230,2019-04-14,37,PyClustering: Data Mining Library
10.21105/joss.02376,2020-07-10,35,COVID-19 Data Hub
10.21105/joss.01028,2018-10-31,33,rr2: An R package to calculate $R^2$s for regression models
10.21105/joss.01450,2019-05-19,33,PyVista: 3D plotting and mesh analysis through a streamlined interface for the Visualization Toolkit (VTK)
10.21105/joss.02306,2020-07-16,33,Methods and Algorithms for Correlation Analysis in R
10.21105/joss.01667,2019-09-08,32,Open-Unmix - A Reference Implementation for Music Source Separation
10.21105/joss.00729,2018-05-28,32,PyCM: Multiclass confusion matrix library in Python
10.21105/joss.00597,2018-03-31,31,FNFT: A Software Library for Computing Nonlinear Fourier Transforms
10.21105/joss.00352,2017-08-30,30,'Sequana': a Set of Snakemake NGS pipelines
10.21105/joss.00046,2016-10-08,29,pygtc: beautiful parameter covariance plots (aka. Giant Triangle Confusograms)
10.21105/joss.00506,2018-02-19,29,GIBBON: The Geometry and Image-Based Bioengineering add-On
10.21105/joss.01236,2019-02-28,29,"pycoQC, interactive quality control for Oxford Nanopore Sequencing"
10.21105/joss.00034,2016-09-07,29,Osprey: Hyperparameter Optimization for Machine Learning
10.21105/joss.00135,2017-02-22,28,batchtools: Tools for R to work on batch systems
10.21105/joss.00640,2018-04-10,28,"MCMCvis: Tools to Visualize, Manipulate, and Summarize MCMC Output"
10.21105/joss,2021-10-26,28,Journal of Open Source Software
10.21105/joss.02445,2020-09-09,27,"Extracting, Computing and Exploring the Parameters of Statistical Models using R"
10.21105/joss.01081,2019-02-19,27,IDTxl: The Information Dynamics Toolkit xl: a Python package for the efficient analysis of multivariate information dynamics in networks
10.21105/joss.01317,2019-08-04,27,lifelines: survival analysis in Python
10.21105/joss.02004,2020-02-06,27,"CMasher: Scientific colormaps for making accessible, informative and 'cmashing' plots"
10.21105/joss.01412,2019-06-25,26,insight: A Unified Interface to Access Information from Model Objects in R
10.21105/joss.00821,2018-07-31,26,heatwaveR: A central algorithm for the detection of heatwaves and cold-spells
10.21105/joss.00726,2018-06-18,26,"mlpack 3: a fast, flexible machine learning library"
10.21105/joss.00092,2016-10-23,25,edarf: Exploratory Data Analysis using Random Forests
10.21105/joss.00925,2018-09-13,25,Ripser.py: A Lean Persistent Homology Library for Python
10.21105/astro.2006.16182,2021-01-29,25,The First Three Seconds: a Review of Possible Expansion Histories of the Early Universe
10.21105/joss.01041,2018-11-13,25,"hillR: taxonomic, functional, and phylogenetic diversity and similarity through Hill Numbers"
10.21105/joss.00754,2018-06-20,24,sjmisc: Data and Variable Transformation Functions
10.21105/joss.00655,2018-03-28,24,"Fast, Consistent Tokenization of Natural Language Text"
10.21105/joss.00656,2018-06-21,23,QUIT: QUantitative Imaging Tools
10.21105/joss.01903,2019-12-11,23,mlr3: A modern object-oriented machine learning framework in R
10.21105/joss.01316,2019-04-04,23,Badread: simulation of error-prone long reads
10.21105/joss.00296,2017-06-22,23,kerasR: R Interface to the Keras Deep Learning Library
10.21105/joss.00848,2018-08-09,23,countrycode: An R package to convert country names and country codes
10.21105/joss.01292,2019-06-18,23,dolfin-adjoint 2018.1: automated adjoints for FEniCS and Firedrake
10.21105/joss.00139,2017-01-03,22,Optlang: An algebraic modeling language for mathematical optimization
10.21105/joss.02338,2020-09-13,22,A parallel global multiobjective framework for optimization: pagmo
10.21105/joss.02154,2020-06-24,22,Spleeter: a fast and efficient music source separation tool with pre-trained models
10.21105/joss.02353,2020-08-17,21,dms-view: Interactive visualization tool for deep mutational scanning data
10.21105/joss.01035,2018-10-19,21,"nasapower: A NASA POWER Global Meteorology, Surface Solar Energy and Climatology Data Client for R"
10.21105/joss.01277,2019-05-17,21,"tqdm: A Fast, Extensible Progress Meter for Python and CLI"
10.21105/joss.00550,2018-01-26,21,The drake R package: a pipeline toolkit for reproducibility and high-performance computing
10.21105/joss.01414,2019-05-12,21,anesthetic: nested sampling visualisation
10.21105/joss.00032,2016-08-09,21,Advanced viewshed analysis: a Quantum GIS plug-in for the analysis of visual landscapes
10.21105/astro.1811.09514,2019-01-29,21,Higgs inflation in the Palatini formulation with kinetic terms for the metric
10.21105/joss.01698,2019-09-19,20,Computing diffusion coefficients in macromolecular simulations: the Diffusion Coefficient Tool for VMD
10.21105/joss.01635,2019-10-08,20,"Spruceup: fast and flexible identification, visualization, and removal of outliers from large multiple sequence alignments"
10.21105/joss.01636,2019-10-03,20,ENZO: An Adaptive Mesh Refinement Code for Astrophysics (Version 2.6)
10.21105/joss.02286,2020-07-13,19,spam: Software for Practical Analysis of Materials
10.21105/joss.01220,2019-02-26,19,eddy: Extracting Protoplanetary Disk Dynamics with Python
10.21105/joss.03167,2021-05-25,18,Visualizations with statistical details: The 'ggstatsplot' approach
10.21105/joss.01075,2019-03-24,18,Yellowbrick: Visualizing the Scikit-Learn Model Selection Process
10.21105/joss.00305,2017-06-26,18,osmdata
10.21105/joss.02174,2020-08-05,18,Surprise: A Python library for recommender systems
10.21105/joss.00472,2018-01-24,18,PFEIFER: Preprocessing Framework for Electrograms Intermittently Fiducialized from Experimental Recordings
10.21105/joss.00622,2018-05-15,18,Open OnDemand: A web-based client portal for HPC centers
10.21105/joss.00583,2018-08-27,18,RNAsik: A Pipeline for complete and reproducible RNA-seq analysis that runs anywhere with speed and ease
10.21105/joss.00773,2018-06-15,17,Galore: Broadening and weighting for simulation of photoelectron spectroscopy
10.21105/joss.00279,2017-06-07,17,BioPandas: Working with molecular structures in pandas DataFrames
10.21105/joss.00025,2016-06-17,17,GeneNetwork: framework for web-based genetics
